信任,作曲,Jerald
信任,作曲,Eric Kwok
信心花舍,作曲,Barry Chung
信心花舍,所属专辑,Shall We Dance? Shall We Talk!
信心花舍,歌手,陈奕迅
信心花舍,作词,林夕
倒带人生,作曲,方大同
倒带人生,作词,葛大为
倒带人生,所属专辑,不想放手
倒带人生,歌手,陈奕迅
傅科摆,作曲,C.Y.Kong
傅科摆,作词,葛大为
傅科摆,作曲,Jerald Chan
傅科摆,歌手,陈奕迅
像一句广告,作曲,"WARUT""SEVENDOGS""RINTRANUKUKUL"
像一句广告,作词,于光中
像一句广告,所属专辑,黑·白·灰
像一句广告,歌手,陈奕迅
兄妹,所属专辑,黑白灰
兄妹,歌手,陈奕迅
兄妹,作曲,徐伟贤
兄妹,作词,林夕
兄弟,歌手,陈奕迅
兄弟,歌手,刘德华
兄弟,所属专辑,Listen To Eason Chan
兄弟,作词,刘德华
兄弟,作曲,陈奕迅
全世界失眠,作曲,陈伟
全世界失眠,歌手,陈奕迅
全世界失眠,所属专辑,反正是我
全世界失眠,作词,林夕
八里公路,歌手,陈奕迅
八里公路,作词,林夕
八里公路,作曲,Siegfried Walch
八里公路,作曲,Manuela Eder
其实我记得,歌手,陈奕迅
其实我记得,所属专辑,陈奕迅
其实我记得,作曲,江港生
其实我记得,作词,张美贤
内疚,歌手,陈奕迅
内疚,所属专辑,？
内疚,作词,陈奂仁
内疚,作词,陈奕迅
内疚,作曲,陈奂仁
内疚,作曲,何秉舜
冤家,歌手,陈奕迅
冤家,所属专辑,反正是我
冤家,作词,徐世珍
冤家,作曲,周杰伦
冤气,作词,林夕
冤气,歌手,陈奕迅
冤气,作曲,廖伟鹏
冤气,所属专辑,Great 5000 Secs
冲口而出,歌手,叶倩文
冲口而出,歌手,陈奕迅
到此一游,歌手,陈奕迅
到此一游,所属专辑,Nothing Really Matters
到此一游,作词,李敏
到此一游,作曲,吴旭文
十年,歌手,陈奕迅
十年,所属专辑,黑白灰
十年,作词,林夕
十年,作曲,陈小霞
十面埋伏,歌手,陈奕迅
十面埋伏,所属专辑,Live For Today
十面埋伏,作词,黄伟文
十面埋伏,作曲,郭伟亮
单车,作词,黄伟文
单车,所属专辑,Shall We Dance? Shall We Talk!
单车,作曲,柳重言
单车,歌手,陈奕迅
反高潮,所属专辑,我的快乐时代
反高潮,作曲,陈奕迅
反高潮,作词,黄伟文
反高潮,歌手,陈奕迅
变色龙,作词,周耀辉
变色龙,所属专辑,Listen To Eason Chan
变色龙,歌手,陈奕迅
变色龙,作曲,王双骏
只是近黄昏,作词,林夕
只是近黄昏,歌手,陈奕迅
只是近黄昏,所属专辑,Solidays 新曲+精选
只是近黄昏,作曲,Eric Kwok
可一可再,作词,陈咏谦
可一可再,歌手,陈奕迅
可一可再,作曲,陈奕迅
可以了,作曲,林俊杰
可以了,歌手,陈奕迅
可以了,所属专辑,米·闪
可以了,作词,林怡凤
叶问风中转,歌手,陈奕迅
同舟之情,作曲,顾嘉辉
同舟之情,歌手,张学友
同舟之情,作曲,Eric Kwok
同舟之情,作词,陈咏谦
同舟之情,歌手,陈奕迅
同舟之情,作词,黄沾
后台,歌手,陈奕迅
后台,所属专辑,Solidays
后台,作词,黄伟文
后台,作曲,Adam
吟游诗人,歌手,陈奕迅
吟游诗人,作曲,黄丹仪
吟游诗人,作词,曾纪诺
听一千遍后,所属专辑,？
听一千遍后,作词,姚谦
听一千遍后,作曲,John Laudon
听一千遍后,歌手,陈奕迅
听听,所属专辑,怎么样
听听,作曲,王双骏
听听,作词,黄伟文
听听,歌手,陈奕迅
吹微风,作曲,吴国敬
吹微风,歌手,陈奕迅
吹微风,作词,黄伟文
吹微风,作曲,孙伟明
吹微风,所属专辑,打得火热
呀边个边个,作曲,TOM LINDEYBO CHRISTENSEN
呀边个边个,作曲,DAN HOUGESEN
呀边个边个,歌手,陈奕迅
呀边个边个,所属专辑,Live For Today
呀边个边个,作词,徐绍祺
呀边个边个,作曲,SUNE THORBJORNSEN
告别娑婆,所属专辑,The Key
告别娑婆,作曲,C.Y.Kong
告别娑婆,作曲,Jean Chien
告别娑婆,作词,小克
告别娑婆,歌手,陈奕迅
味之素,歌手,陈奕迅
味之素,作词,黄伟文
味之素,作曲,陈羽恒
和平饭店,作曲,D.Acconci
和平饭店,歌手,陈奕迅
和平饭店,作曲,云超
和平饭店,作词,林夕
哎呀咿呀,作曲,周国贤
哎呀咿呀,歌手,陈奕迅
哎呀咿呀,作词,小克
喜欢一个人,作曲,Eric Kwok
喜欢一个人,作词,袁两半
喜欢一个人,所属专辑,准备中
喜欢一个人,歌手,陈奕迅
四季,歌手,陈奕迅
四季,作曲,周国贤
四季,作词,小克
四季圈,作曲,火星电台
四季圈,歌手,陈奕迅
四季圈,作词,火星电台
四季圈,所属专辑,米·闪
因为爱情,作曲,小柯
因为爱情,作词,小柯
因为爱情,歌手,陈奕迅
因为爱情,歌手,王菲
土星环,歌手,陈奕迅
土星环,作词,黄伟文
土星环,所属专辑,不想放手
土星环,作曲,Adrian Fu
圣诞结,歌手,陈奕迅
圣诞结,所属专辑,七
圣诞结,作词,何启弘
圣诞结,作曲,李峻一
在你身边,作词,陈少琪
在你身边,所属专辑,上五楼的快活
在你身边,歌手,陈奕迅
在你身边,作曲,张亚东
坏情人,歌手,陈奕迅
坏情人,所属专辑,Sound & Sight
坏情人,作曲,Holun Mak
坏情人,作曲,Keith Yip
坏情人,作词,林夕
多一点,歌手,陈奕迅
多一点,所属专辑,新生活
多一点,作词,潘伟源
多一点,作曲,吴通明
多少,作曲,蔡健雅
多少,作词,蔡健雅
多少,所属专辑,上五楼的快活
多少,歌手,陈奕迅
大人,歌手,陈奕迅
大人,所属专辑,Time Flies
大人,作词,陈咏谦
大人,作曲,Eric Kwok
天下太平,歌手,张学友
天下太平,所属专辑,Solidays
天下太平,作词,林夕
天下太平,作曲,伍乐城
天下太平,歌手,陈奕迅
天下无双,作曲,柳重言
天下无双,歌手,陈奕迅
天下无双,所属专辑,我的快乐时代
天下无双,作词,林振强
天使的礼物,歌手,陈奕迅
天使的礼物,作词,林夕
天使的礼物,作曲,陈辉阳
天公地道,歌手,陈奕迅
天公地道,所属专辑,What'S Going On...?
天公地道,作词,黄仲凯
天公地道,作曲,徐伟贤
太阳照常升起,歌手,陈奕迅
太阳照常升起,作曲,黄仲贤
太阳照常升起,所属专辑,H3M
太阳照常升起,作词,林夕
失忆蝴蝶,作曲,陈晓娟
失忆蝴蝶,作词,林夕
失忆蝴蝶,歌手,陈奕迅
失恋太少,作曲,陈辉阳
失恋太少,歌手,陈奕迅
失恋太少,作词,林夕
好久不见,歌手,陈奕迅
好久不见,所属专辑,认了吧
好久不见,作曲,陈小霞
好久不见,作词,施立
好聚好散,作词,白进法
好聚好散,作曲,陈国华
好聚好散,所属专辑,酝酿
好聚好散,歌手,陈奕迅
如果这一秒钟你跟我讲你不爱我,作词,黄伟文
如果这一秒钟你跟我讲你不爱我,歌手,陈奕迅
如果这一秒钟你跟我讲你不爱我,所属专辑,天佑爱人
如果这一秒钟你跟我讲你不爱我,作曲,蔡一智
始终我系我,所属专辑,Eason 18首选
始终我系我,歌手,陈奕迅
娱乐天空,歌手,陈奕迅
娱乐天空,所属专辑,米·闪
娱乐天空,作词,火星电台
娱乐天空,作曲,火星电台
婚礼的祝福,作曲,陈建宁
婚礼的祝福,作词,许常德
婚礼的祝福,歌手,陈奕迅
存在,作词,于光中
存在,作曲,Sljevile & Coness
存在,所属专辑,婚礼的祝福
存在,歌手,陈奕迅
季军,作词,林夕
季军,作曲,张佳添
季军,歌手,陈奕迅
季军,所属专辑,The Line-Up
孤儿仔,所属专辑,五星级的家
孤儿仔,歌手,陈奕迅
孤儿仔,作词,李峻一
孤儿仔,作曲,李峻一
孤独患者,所属专辑,?
孤独患者,歌手,陈奕迅
孤独患者,作曲,方大同
孤独患者,作词,小寒
孤独探戈,作词,林夕
孤独探戈,歌手,陈奕迅
孤独探戈,作曲,陈辉阳
孤独探戈,所属专辑,Shall We Dance? Shall We Talk!
完,作曲,郭伟亮
完,歌手,陈奕迅
完,作曲,陈思捷
完,作词,林宝
完,所属专辑,…3mm
宠爱,歌手,陈奕迅
宠爱,作曲,陈美威
宠爱,作词,白进法
宠爱,所属专辑,酝酿
宠爱,作词,王中言
寂寞奏鸣曲,作词,易家扬
寂寞奏鸣曲,歌手,陈奕迅
寂寞奏鸣曲,作曲,Tim Christensen
寂寞奏鸣曲,所属专辑,黑·白·灰
寂寞让你更快乐,歌手,陈奕迅
寂寞让你更快乐,作曲,阿飞
寂寞让你更快乐,作词,郭小宏
寂寞让你更快乐,所属专辑,七
富士山下,歌手,陈奕迅
富士山下,作词,林夕
富士山下,作曲,泽日生
对不起 谢谢,所属专辑,怎么样
对不起 谢谢,作词,Skot Suyama
对不起 谢谢,作曲,Skot Suyama
对不起 谢谢,歌手,陈奕迅
对面,歌手,陈奕迅
对面,所属专辑,米·闪
对面,作词,火星电台
对面,作曲,火星电台
小孩不懂怕,作词,陈文刚
小孩不懂怕,所属专辑,Live For Today
小孩不懂怕,歌手,陈奕迅
小孩不懂怕,作曲,阿飞
少见不怪,歌手,陈奕迅
少见不怪,作词,黄敬佩
少见不怪,作曲,张佳添
岁月如歌,作曲,徐伟贤
岁月如歌,作词,刘卓辉
岁月如歌,歌手,陈奕迅
幸灾乐祸,歌手,陈奕迅
幸灾乐祸,所属专辑,Live For Today
幸灾乐祸,作曲,陶喆
幸灾乐祸,作词,黄伟文
幸福摩天轮,作曲,Eric Kwok
幸福摩天轮,作词,林夕
幸福摩天轮,所属专辑,幸福
幸福摩天轮,歌手,陈奕迅
床上的黑洞,作词,Tim Lui
床上的黑洞,作曲,RubberBand
床上的黑洞,作曲,Jerald Chan
床上的黑洞,歌手,陈奕迅
床上的黑洞,作词,6号
床上的黑洞,所属专辑,C'mon in~
床头床尾,作词,小克
床头床尾,所属专辑,The Key
床头床尾,歌手,陈奕迅
床头床尾,作曲,陈奕迅
床头灯,作曲,李雨寰
床头灯,所属专辑,上五楼的快活
床头灯,作词,葛大为
床头灯,歌手,陈奕迅
开不了心,作曲,伍卓贤
开不了心,作词,林夕
开不了心,歌手,陈奕迅
张氏情歌,作曲,周国贤
张氏情歌,作词,小克
张氏情歌,所属专辑,?
张氏情歌,歌手,陈奕迅
当心中有恋爱感觉,作词,张美贤
当心中有恋爱感觉,歌手,陈奕迅
当心中有恋爱感觉,所属专辑,陈奕迅
当心中有恋爱感觉,作曲,松本俊明
当这地球没有花,歌手,陈奕迅
当这地球没有花,作词,林夕
当这地球没有花,作曲,郭伟亮
心深伤透,作曲,Davy Chan
心深伤透,作词,陈奕迅
心深伤透,歌手,陈奕迅
心的距离,歌手,陈奕迅
心的距离,所属专辑,上五楼的快活
心的距离,作词,小安
心的距离,作曲,小安
心腹,作曲,Eric Kwok
心腹,歌手,陈奕迅
心腹,作词,黄伟文
心腹,所属专辑,Time Flies
忘记歌词,歌手,陈奕迅
忘记歌词,作词,黄伟文
忘记歌词,作曲,陈浩然
快乐男生,作词,易家扬
快乐男生,作曲,C.Y.Kong
快乐男生,所属专辑,认了吧
快乐男生,歌手,陈奕迅
快高长大,作曲,蔡一智
快高长大,歌手,陈奕迅
快高长大,所属专辑,天佑爱人
快高长大,作词,林夕
忽然难过,作词,刘卓辉
忽然难过,作曲,胡波
忽然难过,所属专辑,幸福
忽然难过,歌手,陈奕迅
怕死,作曲,雷颂德
怕死,作词,黄伟文
怕死,所属专辑,U87
怕死,歌手,陈奕迅
怪物,歌手,陈奕迅
怪物,作曲,陈奕迅
怪物,作词,林夕
怪物,所属专辑,Shall We Dance? Shall We Talk!
情深怎么办,作曲,陈美威
情深怎么办,作词,邬裕康
情深怎么办,歌手,陈奕迅
情深怎么办,所属专辑,一滴眼泪
想哭,作词,林夕
想哭,所属专辑,Special Thanks To…
想哭,作曲,徐伟贤
想哭,歌手,陈奕迅
愈想愈无谓,作曲,玉置浩二
愈想愈无谓,作词,潘源良
愈想愈无谓,所属专辑,我的快乐时代
愈想愈无谓,歌手,陈奕迅
愚人快乐,所属专辑,米·闪
愚人快乐,歌手,陈奕迅
愚人快乐,作曲,火星电台
愚人快乐,作词,火星电台
感动,所属专辑,酝酿
感动,歌手,陈奕迅
感情约,所属专辑,一滴眼泪
感情约,歌手,陈奕迅
感情约,作曲,陈美威
感情约,作词,姚若龙
愿,所属专辑,五星级的家
愿,歌手,陈奕迅
戏迷情人,歌手,陈奕迅
戏迷情人,作词,何秀萍
戏迷情人,作曲,卢巧音
我不好爱,歌手,陈奕迅
我不好爱,所属专辑,The Easy Ride
我不好爱,作词,黄伟文
我不好爱,作曲,Eric Kwok
我也不会那么做,歌手,陈奕迅
我也不会那么做,所属专辑,反正是我
我也不会那么做,作词,陈奂仁
我也不会那么做,作曲,陈奕迅
我也不会那样做,作曲,陈奂仁
我也不会那样做,作词,陈奂仁
我也不会那样做,所属专辑,反正是我
我也不会那样做,歌手,陈奕迅
我们万岁,作词,陈咏谦
我们万岁,所属专辑,L.O.V.E.
我们万岁,作曲,翁玮盈
我们万岁,歌手,陈奕迅
我们不哭了,歌手,陈奕迅
我们不哭了,歌手,何超仪
我们不哭了,歌手,杨千嬅
我们不哭了,所属专辑,68分29秒
我们不哭了,作词,郭启华
我们不哭了,作曲,蔡德才
我们不哭了,歌手,海俊杰
我们都寂寞,歌手,陈奕迅
我们都寂寞,所属专辑,黑·白·灰
我们都寂寞,作词,林夕
我们都寂寞,作曲,符致逸
我怎么可以哭,作词,谢明训
我怎么可以哭,作曲,林明阳
我怎么可以哭,歌手,陈奕迅
